"Zona","Precio (€/mes)","Habitaciones","Baños","Metros cuadrados","Planta","Ubicación","Caracteristicas","Extras","Contacto","Telefono","Detalles contacto","Descripcion","Images","ref. Fotocasa","url"
"Collbató","1400","4","2","148","","Casa adosada en Collbato ,Centro / Collbató","Tipo de inmueble : Casa adosada, Estado : Casi nuevo, Antigüedad : De 5 a 10 años","Balcón, Calefacción, Cocina Equipada, Cocina Office, Electrodomésticos, Patio","Macrofincas","935439390","Referencia : MCM3128RR Contacto: Macrofincas Martorell","Ref. MCM3128RR  Casa seminueva en Collbató.  DISTRIBUCIÓN - Salón con salida al patio. - Cocina. - 3 Dormitorios dobles, uno tipo suitte. - Buhardilla con dos ambientes. - 2 baños completos, uno ducha y otro bañera. - 1 Aseo de cortesía. - Garaje.  ACABADOS Suelos porcelanicos, ventanas de aluminio, puertas de nogal, calefacción, aire acondicionado, un armario empotrado.  ZONA Y TRANSPORTE En Collbató en las faldas de la montaña de Montserrat junto al parque natural, donde cuenta con todos los servicios: colegios, instituto, guardería, piscinas, pistas de padel, fútbol, tenis, ambulatorio, comercios, supermercado, rápido acceso a la A-2, autobús (Hispano Igualadina) Igualada-Barcelona.","https://d.inmofactory.com/1/106876/13863115/188711024.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711025.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711026.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711027.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711028.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711029.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711030.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711031.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711032.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711033.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711034.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711035.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711036.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711037.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711038.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711039.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711040.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711041.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711042.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711043.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711044.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711045.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711046.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711047.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711048.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711049.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711050.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711051.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711052.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711053.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711054.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711055.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711056.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711057.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711058.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711059.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711060.jpg/690x518/p_1, https://d.inmofactory.com/1/106876/13863115/188711061.jpg/690x518/p_1","145775269","https://www.fotocasa.es/vivienda/collbato/calefaccion-patio-collbato-145775269?RowGrid=25&tti=3&opi=300"
"Olesa de Montserrat","900","4","2","85","3ª","Dúplex en Olesa De Montserrat, Zona De Eixample / Olesa de Montserrat","Tipo de inmueble : Dúplex, Planta : 3ª planta, Estado : Casi nuevo, Antigüedad : De 10 a 20 años","Aire acondicionado, Ascensor, Balcón, Calefacción, Cocina Equipada, Cocina Office, Gres Cerámica, No amueblado, Parking comunitario, Puerta Blindada, Suite - con baño, Terraza, Videoportero, Vistas a la montaña","Finques Bià","932756715","Referencia : 18-59 Contacto: Finques Bià","Piso Tipo Duplex en Olesa de Montserrat zona Eixample, 85 m. de superficie, 8 m2 de cocina, 25 m2 de comedor, 20 m2 de terraza, 3 habitaciones dobles (1 suite de 10'5m2, otra doble de 11'5m2 y otra de 9'5m2.) y  una habitación individual (de 6m2.), 2 baños (en planta noble con plato de ducha y en planta superior con banyera.), propiedad seminueva, cocina equipada, carpinteria interior de haya, orientación norte sur, suelo de gres, carpintería exterior de aluminio  climalit. Extras: agua, aire acondicionado  (4 aires acondicionados en comedor y habitaciones dobles.), ascensor, balcón  (2 balcones de 5m2 cada uno.), calefacción, gas ciudad , línea telefónica, luminoso, luz, ojos de buey, puerta blindada, terraza (de 25m2.), parking incluído.  cerca a esta propiedad tienes, árboles, colegios Pis tipus dúplex a Olesa de Montserrat zona Eixample, 85 m. de superfície, 8 m2 de cuina, 25 m2 de menjador, 20 m2 de terrassa, 3 habitacions dobles (1 suite de 10'5m2, una altra doble de 11'5m2 i una altra de 9'5m2.) i una habitació individual (de 6m2 .), 2 banys (en planta noble amb plat de dutxa i en planta superior amb banyera.), propietat seminova, cuina equipada, fusteria interior de faig, orientació sud, terra de gres, tancaments d'alumini  climalit. Extres: aigua, aire condicionat (4 aires condicionats en menjador i habitacions dobles.), Ascensor, balcó (2 balcons de 5m2 cada un.), Calefacció, gas ciutat, línia telefonica, lluminós, llum, ulls de bou, porta blindada, terrassa (de 25m2.), pàrquing inclos.  prop a aquesta propietat tens, arbres, col·legis","https://d.inmofactory.com/1/95491/15377456/196340438.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340425.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340427.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340429.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340430.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340432.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340434.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340436.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340423.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340418.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340412.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340407.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340400.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340404.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340415.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340433.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340439.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340440.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340443.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340444.jpg/690x518/p_1","148290897","https://www.fotocasa.es/vivienda/olesa-de-montserrat/aire-acondicionado-calefaccion-terraza-ascensor-parking-no-amueblado-olesa-de-montserrat-148290897?RowGrid=26&tti=3&opi=300"
"Abrera","390","1","","","","Casa adosada en  Avinguda Generalitat 39 / Abrera","Tipo de inmueble : Casa adosada","Aire acondicionado, Amueblado, Calefacción, Gres Cerámica, Horno, Lavadora, Nevera, Patio, Puerta Blindada, Terraza","","#","","se alquila habitación en casa adosada semi nueva en un.las carpas abrera ..preferiblemente se alquilara a una  chica ..la habitación será alquilada junto con su baño propio , acceso a cocina y terraza","https://d.fotocasa.es/anuncio/2019/01/17/149668136/463162406.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2019/01/17/149668136/463162409.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2019/01/17/149668136/463162413.jpg/690x518/p_1","149668136","https://www.fotocasa.es/vivienda/abrera/aire-acondicionado-calefaccion-terraza-patio-amueblado-abrera-149668136?RowGrid=27&tti=3&opi=300"
"Sant Andreu de la Barca","1500","3","1","240","","Chalet en Sant Andreu De La Barca, Zona De - Sant Andreu De La Barca / Sant Andreu de la Barca","Tipo de inmueble : Chalet, Estado : Muy buen estado, Antigüedad : De 20 a 30 años","Aire acondicionado, Calefacción, Garaje Privado, Parquet, Terraza, Trastero","Fincas Ordoñez","932933041","Referencia : 2498 Contacto: Fincas Ordoñez","FINCAS ORDOÑEZ alquila casa en Sant Andreu de la Barca de 240 m2 de superficie, 3 habitaciones (dos de 12 m2 y 1 suite de 35 m2) baño completo, 1 aseo con ducha, cocina seminueva, lavadero, terraza en el solarium de 15 m2, terraza de 40 m2, chimenea, buhardilla de 27 m2, carpintería exterior de aluminio, suelo de parquet y marmol, calefacción de gas natural, Aire Acondicionado más bomba de calor, parquing, trastero, finca de 25 años todo exterior. Condiciones: 1 mes de renta, 2 fianzas y 1 mes de gestiones más I.V.A.","https://d.inmofactory.com/1/98447/12752536/142738328.jpg/690x518/p_1","144117517","https://www.fotocasa.es/vivienda/sant-andreu-de-la-barca/aire-acondicionado-calefaccion-parking-terraza-trastero-sant-andreu-de-la-barca-144117517?RowGrid=28&tti=3&opi=300"
"Esparreguera","610","3","1","58","","Casa adosada en  Pau Duran / Esparreguera","Tipo de inmueble : Casa adosada, Estado : Casi nuevo, Antigüedad : De 30 a 50 años","Cocina Equipada, Lavadero, No amueblado, Puerta Blindada, Terraza","Inveriba","932934650","Referencia : 1500 Contacto: Inveriba","Casa en alquiler en Esparraguera, Barcelona. Dispone de una superficie de 58 m² distribuidos en 3 habitaciones, amplio salón-comedor, gran cocina, 1 baño, balcón y terraza con jardín. Casa situada en plena naturaleza, muy cerca de un supermercado y algún otro comercio. Fácil acceso a la B-231.REQUISITOS PARA PODER REALIZAR UNA VISITA- Al menos uno de los inquilinos debe tener contrato indefinido.- La suma de los ingresos de los inquilinos debe ser al menos de 1.800€ para este inmueble en concreto.","https://d.inmofactory.com/1/93528/15596772/201144212.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144213.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144214.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144215.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144216.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144217.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144218.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144219.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144220.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144221.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144222.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144223.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144224.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144225.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144226.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144227.jpg/690x518/p_1","148662719","https://www.fotocasa.es/vivienda/esparreguera/terraza-se-aceptan-mascotas-no-amueblado-esparreguera-148662719?RowGrid=29&tti=3&opi=300"
"Sant Esteve Sesrovires","1100","4","1","181","","Casa adosada en Pasaje Estacion / Sant Esteve Sesrovires","Tipo de inmueble : Casa adosada, Estado : Buen estado, Antigüedad : De 30 a 50 años","Amueblado, Armarios, Calefacción, Cocina Equipada, Cocina Office, Electrodomésticos, Garaje Privado, Gres Cerámica, Horno, Internet, Jardín Privado, Lavadero, Lavadora, Microondas, Nevera, Puerta Blindada, Terraza, Trastero, TV, Vistas a la montaña, Z. Comunitaria, Zona Deportiva","Inmobiliaria La Gavina","935438591","Referencia : G102A Contacto: Gemma","Esta casa está situada a un minuto caminando de los ferrocarriles catalanes, a un paso del centro. Dispone de jardín privado, garaje, un gran y luminoso salón comedor , 4 habitaciones y una amplia cocina","https://d.inmofactory.com/1/105746/15723443/204162657.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162093.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162678.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162373.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162633.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162008.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162041.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162054.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162608.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162079.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162108.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162133.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162190.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162209.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162225.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162341.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162363.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162576.jpg/690x518/p_1","148874359","https://www.fotocasa.es/vivienda/sant-esteve-sesrovires/calefaccion-parking-jardin-terraza-trastero-zona-comunitaria-amueblado-television-se-aceptan-mascotas-internet-pasaje-estacion-148874359?RowGrid=30&tti=3&opi=300"
"Esparreguera","750","3","1","100","","Piso en Centro Pueblo. / Esparreguera","Tipo de inmueble : Piso, Estado : Buen estado, Orientación : Orientación Sureste","Amueblado, Ascensor, Balcón, Calefacción, Electrodomésticos, Horno, Terraza, Vistas a la montaña","Fininform","932939346","Referencia : 001085 Contacto: Fininform","AMPLIO PISO DE 100 M2  .-  FINCA CON ASCENSOR  .-PISO DE  3 HABITACIONES  + 01 BAÑO  + .- BALCON GRANDE  .- PISO AMUEBLADO Y CON ELECTRODOMESTICOS .-","https://d.inmofactory.com/1/85594/4887209/14743850.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4887209/214640666.jpg/690x518/p_1","149588283","https://www.fotocasa.es/vivienda/esparreguera/calefaccion-terraza-ascensor-amueblado-esparreguera-149588283?RowGrid=1&tti=3&opi=300"
"Olesa de Montserrat","700","3","2","96","","Dúplex en Olesa De Montserrat- Zona Estación / Olesa de Montserrat","Tipo de inmueble : Dúplex, Estado : Muy buen estado, Antigüedad : De 10 a 20 años","Aire acondicionado, Ascensor, Balcón, Calefacción, Cocina Office, Gres Cerámica, Horno, Lavadero, No amueblado, Puerta Blindada, Suite - con baño, Terraza, Videoportero","Paniello Finques","935435235","Referencia : 09-2019 Contacto: Paniello Finques","Duplex Semi Nuevo con Terraza muy amplia, cocina independiente exterior a un balcón,  3 habitaciones ( 1 suitte), video portero, aire acondicionado, puerta blindada, suelo de gres, ventanas de aluminio, escaleras en el recibidor, recien pintado, etc","https://d.inmofactory.com/1/104471/16189429/214128255.jpg/690x518/p_1","149557210","https://www.fotocasa.es/vivienda/olesa-de-montserrat/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado-olesa-de-montserrat-149557210?RowGrid=2&tti=3&opi=300"
"Abrera","1400","3","2","206","","Chalet en Can Villalba / Abrera","Tipo de inmueble : Chalet, Estado : Buen estado, Antigüedad : De 10 a 20 años","Calefacción, Cocina Equipada, Jardín Privado, Lavadero, Parquet, Piscina","Finques Olesa","932752548","Referencia : 51043 Contacto: Finques Olesa","CASA EN PLENA NATURALEZA!!! Casa en alquiler en Abrera-  206 m construidos - 190 m útil de vivienda en parcela de  2.025 m- salón comedor de 45 m con chimenea- cocina americana de diseño- lavadero- 3 habitaciones ( 2 dobles - 1 suitte )-estudio de 76 m-baño completo- aseo con plato de ducha - suelo de parket- carpintera exterior madera doble cristal- calefacción a gasoil- piscina con depuradora- trastero CASA EN PLENA NATURALEZA!!! VEN Y VERAS  LOS EXCELENTÍSIMOS ACABADOS!!!","https://d.inmofactory.com/1/93002/16230844/215106143.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106144.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106145.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106146.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106147.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106148.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106149.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106150.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106151.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106152.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106153.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106154.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106155.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106156.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106157.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106158.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106159.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106160.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106161.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106162.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106163.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106164.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16230844/215106165.jpg/690x518/p_1","149619301","https://www.fotocasa.es/vivienda/abrera/calefaccion-jardin-piscina-abrera-149619301?RowGrid=3&tti=3&opi=300"
"Collbató","850","4","2","160","","Casa adosada en Les Illes - Collbató / Collbató","Tipo de inmueble : Casa adosada, Estado : Muy buen estado, Antigüedad : De 10 a 20 años","Aire acondicionado, Amueblado, Armarios, Balcón, Calefacción, Cocina Office, Electrodomésticos, Garaje Privado, Gres Cerámica, Horno, Jardín Privado, Lavadero, Lavadora, Nevera, Puerta Blindada, Terraza, Vistas a la montaña","Fininform","932939346","Referencia : 002078 Contacto: Fininform","CASA ADOASADA DE 160 M2 DE 2 PLANTAS. TOTALMENTE REFORMADA. TERRAZA. PATIO DE 15 M2 DELANTE Y PATIO DE 25 M2 DETRAS. PLANTA PRIMERA : COMEDOR-SALÓN CON SALIDA TERRAZA + COCINA OFFICE  + 1 BAÑO. PLANTA PRIMERA :  4 HABITACIONES  + 1 BAÑO COMPLETO. PLANTA SÓTANOS : GARAGE CON SALIDA PATIO. CASA IMPECABLES. BOMBA DE CALOR. AIRE ACONDICONADO. TODA AMUEBLADA Y CON ELECTRODOMESTICOS. SUELO DE GRES. VENTANAS DE ALUMINIO.  PRECIO  850 EUROS - INCLUIDA CONTRIBUCIÓN-COMUNIDAD Y TASA DE BASURAS. DISPONIBILIDAD FINALES ENERO 2019.","https://d.inmofactory.com/1/85594/4812453/13989224.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923301.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208922940.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208922947.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923325.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989219.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923328.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923335.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923343.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989221.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989210.jpg/690x518/p_1","149299489","https://www.fotocasa.es/vivienda/collbato/aire-acondicionado-calefaccion-parking-jardin-terraza-amueblado-collbato-149299489?RowGrid=4&tti=3&opi=300"
"Collbató","1500","4","3","240","","Chalet en Collbató, Zona De - Collbató / Collbató","Tipo de inmueble : Chalet","Calefacción, Garaje Privado, Jardín Privado, Piscina, Vistas a la montaña","Finquespa","932991896","Referencia : 1295 Contacto: Administrador","SEMINUEVA - 4 HABITACIONES - 3 BAÑOS -  CALEFACCION - GARAJE 100M - PISCINA PARTICULAR... 1.500€!!","https://d.inmofactory.com/1/86924/16307692/216816338.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816295.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816305.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816291.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816294.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816340.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816319.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816292.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816346.jpg/690x518/p_1","149726360","https://www.fotocasa.es/vivienda/collbato/calefaccion-parking-jardin-piscina-collbato-149726360?RowGrid=5&tti=3&opi=300"
"Martorell","760","3","2","64","2ª","Piso en Pasaje Fàbrica Sardà I Tolosa 7 / Martorell","Tipo de inmueble : Piso, Planta : 2ª planta, Estado : Casi nuevo","Aire acondicionado, Ascensor, Balcón, Horno, Parking comunitario, Parquet, Trastero, Videoportero","Onix Renta","933034150","Referencia : 6468 Contacto: Rosi","","https://d.inmofactory.com/1/91111/16319614/217117102.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117018.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117021.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117046.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117053.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117055.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117058.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117063.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117065.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117070.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117073.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117079.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117083.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117095.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117100.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117105.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117138.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117140.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117144.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117148.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117152.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117157.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117162.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117167.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117173.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117174.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117180.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117183.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117189.jpg/690x518/p_1","149742347","https://www.fotocasa.es/vivienda/martorell/aire-acondicionado-trastero-ascensor-parking-pasaje-fabrica-sarda-i-tolosa-7-149742347?RowGrid=6&tti=3&opi=300"
